Timestamp,Close,Open,High,Low,Volume
2021-04-01,1967.96,1918.82,1983.84,1897.38,2080000
2021-04-02,2134.55,1968.12,2144.11,1949.99,2470000
2021-04-03,2008.59,2134.66,2137.68,2004.40,2010000
2021-04-04,2075.94,2007.82,2091.31,1982.00,1590000
2021-04-05,2106.41,2076.14,2127.89,2004.05,2310000
2021-04-06,2111.53,2108.81,2150.78,2047.48,1930000
2021-04-07,1961.46,2112.41,2128.25,1939.64,2300000
2021-04-08,2079.92,1962.44,2084.08,1951.83,1730000
2021-04-09,2066.93,2080.20,2101.07,2050.39,2470000
2021-04-10,2133.79,2067.26,2197.73,2058.23,2090000
2021-04-11,2151.42,2133.89,2164.76,2114.55,1970000
2021-04-12,2137.81,2150.79,2199.52,2103.73,2160000
2021-04-13,2299.93,2137.55,2315.47,2136.49,2380000
2021-04-14,2431.56,2299.25,2445.40,2281.49,2110000
2021-04-15,2514.22,2432.90,2541.90,2402.75,1910000
2021-04-16,2423.18,2514.55,2544.54,2302.30,2080000
2021-04-17,2318.33,2424.12,2493.93,2314.12,1730000
2021-04-18,2237.17,2317.88,2338.53,1948.93,2760000
2021-04-19,2160.63,2236.10,2275.87,2081.30,1900000
2021-04-20,2332.14,2161.06,2345.18,2058.00,1860000
2021-04-21,2360.81,2331.84,2467.51,2238.15,2100000
2021-04-22,2401.10,2360.32,2642.99,2313.46,3170000
2021-04-23,2367.31,2398.95,2440.21,2119.26,3460000
2021-04-24,2215.93,2367.35,2367.46,2159.60,1610000
2021-04-25,2316.48,2217.23,2355.20,2169.91,1020000
2021-04-26,2533.12,2320.63,2539.80,2305.97,1790000
2021-04-27,2665.24,2531.07,2677.95,2484.44,1450000
2021-04-28,2746.54,2665.83,2759.03,2562.74,1740000
2021-04-29,2757.36,2746.51,2797.52,2670.35,1650000
2021-04-30,2772.78,2757.02,2797.61,2726.03,1520000
2021-05-01,2944.66,2772.27,2951.74,2753.60,1510000
2021-05-02,2950.33,2945.04,2984.52,2854.12,1300000
2021-05-03,3429.37,2950.07,3451.44,2950.07,2320000
2021-05-04,3286.71,3429.48,3516.34,3188.90,2740000
2021-05-05,3522.76,3284.31,3540.78,3228.86,1870000
2021-05-06,3489.52,3522.74,3601.59,3380.60,1510000
2021-05-07,3481.22,3490.83,3583.34,3363.56,1350000
2021-05-08,3905.55,3479.81,3952.88,3453.37,1340000
2021-05-09,3922.23,3905.69,3979.77,3734.44,1940000
2021-05-10,3947.90,3923.48,4203.98,3669.84,2700000
2021-05-11,4167.78,3948.66,4177.53,3781.86,1270000
2021-05-12,3811.77,4173.61,4366.10,3794.15,2780000
2021-05-13,3719.62,3807.50,4031.99,3539.96,3210000
2021-05-14,4075.38,3719.46,4171.76,3694.54,2060000
2021-05-15,3641.65,4074.57,4129.99,3639.12,1940000
2021-05-16,3582.12,3643.67,3877.20,3351.92,2280000
2021-05-17,3279.68,3582.19,3582.27,3130.12,2850000
2021-05-18,3377.55,3280.50,3558.57,3244.93,2300000
2021-05-19,2435.69,3376.22,3434.01,1922.25,6420000
2021-05-20,2777.55,2436.59,2988.52,2163.40,4330000
2021-05-21,2433.11,2766.88,2931.66,2111.42,4230000
2021-05-22,2291.60,2433.09,2481.06,2162.84,2820000
2021-05-23,2101.34,2292.68,2379.89,1739.91,3520000
2021-05-24,2646.79,2101.30,2667.20,2080.87,3240000
2021-05-25,2705.09,2647.27,2747.49,2388.81,3280000
2021-05-26,2884.66,2705.69,2908.37,2648.10,2660000
2021-05-27,2735.88,2885.02,2885.87,2638.62,2390000
2021-05-28,2414.29,2742.39,2760.17,2332.43,3260000
2021-05-29,2276.07,2411.68,2567.42,2207.21,2940000
2021-05-30,2386.10,2276.97,2465.84,2181.93,2800000
2021-05-31,2708.47,2386.93,2713.98,2279.42,2830000
2021-06-01,2633.67,2707.94,2738.23,2529.73,2450000
2021-06-02,2706.10,2633.74,2801.00,2554.88,2600000
2021-06-03,2853.35,2705.05,2889.19,2666.39,1090000
2021-06-04,2686.50,2856.63,2856.63,2557.71,2470000
2021-06-05,2628.98,2688.75,2814.02,2555.98,2550000
2021-06-06,2713.66,2628.43,2743.53,2614.48,756360
2021-06-07,2592.63,2713.52,2842.88,2581.24,3010000
2021-06-08,2510.65,2592.12,2618.70,2320.64,75180
2021-06-09,2606.23,2507.86,2620.74,2408.37,2320000
2021-06-10,2469.97,2607.45,2615.46,2432.41,1290000
2021-06-11,2351.45,2470.04,2493.48,2324.21,587180
2021-06-12,2368.47,2351.45,2448.04,2260.80,1800000
2021-06-13,2508.27,2368.68,2547.90,2311.96,1620000
2021-06-14,2581.48,2508.49,2606.91,2467.61,1790000
2021-06-15,2543.83,2581.42,2637.90,2512.39,1950000
2021-06-16,2367.28,2544.35,2552.12,2353.24,1370000
2021-06-17,2371.62,2367.78,2459.11,2309.08,1060000
2021-06-18,2229.53,2372.10,2376.62,2142.74,778790
2021-06-19,2166.91,2229.53,2276.70,2164.14,1080000
2021-06-20,2243.86,2166.30,2276.83,2045.03,1420000
2021-06-21,1891.18,2244.25,2257.86,1868.32,2690000
2021-06-22,1876.66,1890.95,1994.32,1707.24,2840000
2021-06-23,1968.39,1877.28,2043.10,1823.57,1770000
2021-06-24,1989.14,1968.76,2033.96,1886.74,1640000
2021-06-25,1810.57,1989.77,2017.47,1793.47,1650000
2021-06-26,1830.62,1810.53,1850.40,1719.32,1990000
2021-06-27,1979.88,1830.42,1980.70,1808.59,1870000
2021-06-28,2083.09,1981.24,2142.84,1962.89,2190000
2021-06-29,2158.71,2083.48,2241.86,2076.17,898060
2021-06-30,2273.84,2158.32,2281.55,2090.61,1900000
2021-07-01,2109.11,2274.50,2274.63,2077.56,1710000
2021-07-02,2154.78,2108.58,2158.70,2019.75,1390000
2021-07-03,2224.70,2154.53,2236.97,2115.80,1280000
2021-07-04,2323.22,2224.70,2386.20,2222.95,1390000
2021-07-05,2196.16,2322.60,2322.60,2163.09,822950
2021-07-06,2322.72,2196.25,2347.47,2194.20,1780000
2021-07-07,2316.57,2322.74,2402.68,2296.43,1320000
2021-07-08,2120.22,2316.21,2322.47,2095.92,1820000
2021-07-09,2145.89,2120.05,2185.62,2066.09,1420000
2021-07-10,2111.12,2146.15,2191.30,2078.43,929320
2021-07-11,2139.35,2110.90,2173.34,2081.62,724840
2021-07-12,2035.09,2139.44,2167.60,2008.66,540100
2021-07-13,1940.72,2035.09,2042.61,1920.62,717850
2021-07-14,1994.64,1940.48,2017.99,1868.45,1050000
2021-07-15,1917.21,1994.73,2038.91,1884.81,645060
2021-07-16,1878.20,1917.21,1960.21,1852.42,619620
2021-07-17,1897.98,1877.00,1917.80,1851.97,623520
2021-07-18,1892.42,1898.01,1988.24,1881.60,829770
2021-07-19,1818.07,1891.43,1915.15,1807.19,802780
2021-07-20,1786.07,1818.07,1840.36,1720.70,1200000
2021-07-21,1994.49,1786.18,2029.51,1758.64,1510000
2021-07-22,2024.58,1994.61,2043.26,1952.31,1020000
2021-07-23,2123.61,2024.51,2129.66,2000.27,961670
2021-07-24,2151.85,2124.00,2162.29,2106.71,907110
2021-07-25,2189.79,2166.98,2195.03,2108.74,786940
2021-07-26,2229.53,2189.74,2430.01,2174.44,1890000
2021-07-27,2300.22,2230.24,2318.68,2152.92,1250000
2021-07-28,2299.11,2300.21,2343.49,2246.23,968940
2021-07-29,2380.93,2299.46,2397.71,2269.15,642750
2021-07-30,2460.95,2380.59,2467.40,2320.80,1030000
2021-07-31,2532.19,2461.08,2551.68,2421.70,507080
2021-08-01,2556.23,2530.94,2696.38,2515.26,1200000
2021-08-02,2608.04,2556.07,2664.73,2513.51,970670
2021-08-03,2506.65,2608.01,2631.43,2445.49,158450
2021-08-04,2725.29,2506.50,2766.46,2462.32,1230000
2021-08-05,2827.21,2725.28,2842.95,2533.51,1650000
2021-08-06,2889.43,2827.23,2946.62,2726.04,1060000
2021-08-07,3158.00,2889.58,3169.74,2867.58,64840
2021-08-08,3012.07,3158.30,3188.49,2949.66,1250000
2021-08-09,3162.93,3011.88,3184.84,2899.24,1440000
2021-08-10,3140.71,3162.81,3232.02,3057.84,1120000
2021-08-11,3163.66,3140.86,3269.70,3122.67,950120
2021-08-12,3043.61,3160.17,3236.28,2981.35,965630
2021-08-13,3322.43,3043.20,3324.53,3035.52,795540
2021-08-14,3264.69,3322.25,3328.38,3209.45,658600
2021-08-15,3308.87,3264.56,3318.61,3115.34,782810
2021-08-16,3147.65,3307.96,3334.22,3138.37,859090
2021-08-17,3014.58,3147.67,3290.03,2993.63,1060000
2021-08-18,3016.91,3012.62,3124.51,2951.04,750740
2021-08-19,3184.82,3016.92,3185.51,2962.04,844130
2021-08-20,3284.21,3184.83,3300.36,3179.18,739320
2021-08-21,3223.96,3285.12,3307.33,3200.19,768740
2021-08-22,3238.70,3224.17,3271.94,3128.98,747650
2021-08-23,3319.49,3238.41,3375.42,3231.96,1090000
2021-08-24,3173.26,3322.60,3357.99,3150.75,988820
2021-08-25,3228.15,3172.12,3247.43,3080.70,923130
2021-08-26,3093.54,3228.03,3249.62,3057.48,118440
2021-08-27,3273.58,3093.78,3279.93,3063.37,839540
2021-08-28,3243.90,3273.78,3284.58,3212.24,466210
2021-08-29,3222.16,3243.96,3282.21,3155.31,643730
2021-08-30,3225.67,3222.43,3345.72,3145.53,966580
2021-08-31,3430.74,3228.23,3467.42,3191.34,1520000
2021-09-01,3832.73,3429.65,3839.91,3384.82,1480000
2021-09-02,3786.19,3826.90,3833.89,3723.42,928700
2021-09-03,3936.29,3785.85,4024.89,3715.97,1200000
2021-09-04,3884.97,3938.45,3968.33,3844.07,672530
2021-09-05,3950.62,3885.40,3981.22,3834.74,714160
2021-09-06,3927.21,3950.20,3968.20,3867.55,764560
2021-09-07,3423.12,3926.84,3945.79,3061.30,2470000
2021-09-08,3495.10,3424.35,3557.67,3221.60,780680
2021-09-09,3423.51,3498.92,3564.30,3395.94,1090000
2021-09-10,3207.27,3423.87,3512.90,3156.28,1210000
2021-09-11,3267.33,3209.37,3345.37,3202.41,732950
2021-09-12,3408.28,3267.33,3469.50,3231.87,805970
2021-09-13,3284.52,3408.17,3429.24,3118.66,1340000
2021-09-14,3428.87,3284.65,3428.87,3270.91,720340
2021-09-15,3611.90,3430.36,3612.29,3361.63,790270
2021-09-16,3569.43,3612.23,3672.68,3488.53,195790
2021-09-17,3398.65,3569.92,3592.20,3352.32,748100
2021-09-18,3435.97,3398.55,3539.50,3371.33,600190
2021-09-19,3329.12,3435.92,3455.67,3282.85,614000
2021-09-20,2976.05,3328.49,3344.04,2931.64,1720000
2021-09-21,2761.52,2976.70,3101.88,2659.71,1790000
2021-09-22,3077.78,2764.71,3087.97,2740.58,1190000
2021-09-23,3152.92,3077.80,3173.00,3035.96,841540
2021-09-24,2928.57,3152.92,3158.38,2740.06,1740000
2021-09-25,2922.55,2928.59,2965.48,2812.70,975490
2021-09-26,3063.51,2922.47,3113.65,2740.12,1330000
2021-09-27,2926.24,3061.86,3163.86,2926.24,865300
2021-09-28,2807.28,2926.04,2969.18,2791.42,896280
2021-09-29,2851.50,2807.15,2948.50,2784.66,728860
2021-09-30,3000.59,2851.06,3047.08,2837.68,968230
2021-10-01,3309.13,2999.86,3329.32,2972.75,1140000
2021-10-02,3388.97,3309.14,3467.95,3265.97,778150
2021-10-03,3417.34,3388.83,3485.48,3346.63,642590
2021-10-04,3382.90,3417.26,3436.34,3273.22,826830
2021-10-05,3517.26,3383.32,3540.83,3365.28,663880
2021-10-06,3575.41,3515.35,3627.19,3345.56,1050000
2021-10-07,3586.00,3575.43,3650.18,3473.47,826290
2021-10-08,3559.42,3586.91,3668.35,3537.24,681740
2021-10-09,3574.20,3559.96,3626.11,3541.40,464110
2021-10-10,3415.03,3574.52,3599.18,3409.22,767490
2021-10-11,3545.06,3414.93,3622.53,3381.43,683240
2021-10-12,3489.90,3541.49,3545.35,3404.49,609890
2021-10-13,3607.28,3491.08,3612.04,3416.00,557180
2021-10-14,3790.41,3607.36,3820.47,3588.24,697090
2021-10-15,3866.90,3790.34,3904.91,3735.21,721140
2021-10-16,3827.55,3869.05,3967.43,3804.55,527610
2021-10-17,3845.47,3827.55,3917.56,3664.63,543520
2021-10-18,3747.60,3848.64,3892.01,3685.82,578210
2021-10-19,3876.78,3745.46,3884.34,3733.78,488600
2021-10-20,4159.89,3876.76,4168.12,3830.26,752030
2021-10-21,4054.16,4160.51,4366.91,4029.48,1140000
2021-10-22,3970.94,4053.89,4164.11,3896.40,654770
2021-10-23,4168.85,3970.94,4169.33,3938.79,487030
2021-10-24,4082.80,4168.80,4184.00,3965.84,507630
2021-10-25,4219.92,4082.68,4234.76,4069.94,481410
2021-10-26,4129.51,4219.92,4291.98,4098.19,559290
2021-10-27,3921.93,4130.06,4299.61,3914.06,1070000
2021-10-28,4284.90,3921.54,4289.80,3896.33,865800
2021-10-29,4413.70,4284.90,4458.30,4268.21,781570
2021-10-30,4320.65,4413.70,4428.41,4250.24,494870
2021-10-31,4287.56,4322.00,4393.61,4169.48,555320
2021-11-01,4320.85,4287.41,4376.94,4157.51,574260
2021-11-02,4586.06,4320.85,4598.38,4287.36,630260
2021-11-03,4602.21,4586.96,4661.88,4458.87,634680
2021-11-04,4535.11,4601.93,4604.83,4421.87,495860
2021-11-05,4475.00,4534.96,4569.31,4439.67,409750
2021-11-06,4517.36,4475.00,4526.75,4330.29,442600
2021-11-07,4612.06,4517.27,4634.39,4502.70,337810
2021-11-08,4808.38,4612.05,4822.97,4612.05,673210
2021-11-09,4731.83,4808.34,4836.69,4715.43,437410
2021-11-10,4634.03,4731.83,4864.06,4498.78,761900
2021-11-11,4720.87,4633.98,4778.17,4578.66,418610
2021-11-12,4667.31,4720.50,4807.16,4511.96,634590
2021-11-13,4644.61,4665.76,4705.02,4585.37,290270
2021-11-14,4625.59,4644.40,4692.76,4514.95,340960
2021-11-15,4562.98,4625.71,4769.38,4543.47,495960
2021-11-16,4208.16,4562.97,4562.97,4115.31,1120000
2021-11-17,4290.88,4208.29,4298.30,4071.01,664940
2021-11-18,4001.87,4290.31,4342.74,3958.44,792380
2021-11-19,4295.43,3996.29,4305.41,3978.08,571960
2021-11-20,4408.85,4295.27,4434.27,4206.75,462990
2021-11-21,4268.08,4409.02,4422.60,4246.20,446230
2021-11-22,4086.95,4268.07,4311.46,4026.75,717080
2021-11-23,4340.23,4086.73,4384.75,4064.17,684350
2021-11-24,4273.54,4340.23,4372.83,4172.19,595960
2021-11-25,4520.30,4270.73,4549.74,4248.90,578650
2021-11-26,4034.53,4520.30,4548.10,3917.43,1000000
2021-11-27,4094.80,4037.06,4183.02,4029.06,370730
2021-11-28,4296.98,4095.16,4297.63,3980.24,487530
2021-11-29,4443.22,4296.98,4456.82,4280.18,532660
2021-11-30,4628.90,4443.22,4749.12,4349.21,973460
2021-12-01,4583.28,4628.72,4778.14,4525.33,669180
2021-12-02,4512.90,4583.28,4629.75,4437.53,608070
2021-12-03,4219.30,4512.90,4646.73,4047.07,942770
2021-12-04,4123.46,4219.30,4237.56,3533.02,1520000
2021-12-05,4194.80,4118.27,4247.38,4036.00,707690
2021-12-06,4353.31,4194.95,4373.23,3922.65,993790
2021-12-07,4307.08,4351.36,4424.20,4259.45,550780
2021-12-08,4435.74,4307.08,4449.69,4229.63,574330
2021-12-09,4107.69,4435.74,4482.89,4078.14,642170
2021-12-10,3903.48,4107.20,4226.79,3894.03,798120
2021-12-11,4075.66,3903.52,4094.92,3836.92,581260
2021-12-12,4131.78,4078.17,4173.21,3988.29,360450
2021-12-13,3781.94,4131.47,4141.27,3673.19,891670
2021-12-14,3861.55,3782.12,3879.43,3690.06,577610
2021-12-15,4019.24,3860.51,4090.15,3649.69,821220
2021-12-16,3956.62,4019.57,4108.24,3955.46,512120
2021-12-17,3878.29,3957.12,3993.87,3702.33,654900
2021-12-18,3959.83,3878.20,3993.05,3769.91,475860
2021-12-19,3925.34,3959.90,4025.36,3890.90,442490
2021-12-20,3938.80,3925.46,3978.66,3757.42,531110
2021-12-21,4016.59,3944.03,4058.76,3915.56,496710
2021-12-22,4006.76,4016.25,4072.40,3944.15,427470
